State Name,City Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details,Total - Cases,Total - Injured,Total - Died,alcintake2016,overspeed2016,wrongside2016,lanejumping2016
Jammu and Kashmir,Unknown,2021.0,May,Monday,1:46,Serious,5,Cycle,0,4.0,Hazy,National Highway,Wet,Dark,Signs,61.0,66,Male,,Yes,Curve,6300.0,8416.0,897.0,,,,
Uttar Pradesh,Lucknow,2018.0,January,Wednesday,21:30,Minor,5,Truck,5,4.0,Hazy,Urban Road,Dry,Dusk,Signs,92.0,60,Male,,Yes,Straight Road,37764.0,23843.0,23947.0,4633.0,10184.0,2560.0,1123.0
Chhattisgarh,Unknown,2023.0,May,Wednesday,5:37,Minor,5,Pedestrian,6,5.0,Foggy,National Highway,Under Construction,Dawn,Signs,120.0,26,Female,,No,Bridge,13469.0,11724.0,6166.0,145.0,6660.0,410.0,175.0
Uttar Pradesh,Lucknow,2020.0,June,Saturday,0:31,Minor,3,Bus,10,5.0,Rainy,State Highway,Dry,Dark,Signals,76.0,34,Female,Valid,Yes,Straight Road,37764.0,23843.0,23947.0,4633.0,10184.0,2560.0,1123.0
Sikkim,Unknown,2021.0,August,Thursday,11:21,Minor,5,Cycle,7,1.0,Foggy,Urban Road,Wet,Dusk,Signs,115.0,30,Male,,No,Intersection,174.0,376.0,68.0,12.0,45.0,20.0,0.0
Meghalaya,Unknown,2020.0,November,Tuesday,8:4,Serious,1,Truck,6,2.0,Stormy,Village Road,Dry,Daylight,Police Checkpost,48.0,44,Male,Expired,Yes,Bridge,232.0,259.0,168.0,35.0,146.0,0.0,0.0
Sikkim,Unknown,2021.0,October,Monday,18:55,Fatal,2,Two-Wheeler,9,5.0,Foggy,Urban Road,Under Construction,Dusk,Police Checkpost,111.0,48,Female,,No,Straight Road,174.0,376.0,68.0,12.0,45.0,20.0,0.0
Himachal Pradesh,Unknown,2022.0,December,Wednesday,11:40,Minor,3,Truck,1,5.0,Clear,State Highway,Damaged,Dark,Police Checkpost,62.0,42,Female,Valid,No,Curve,2255.0,3301.0,885.0,72.0,516.0,21.0,78.0
Rajasthan,Jodhpur,2021.0,July,Saturday,8:26,Fatal,3,Truck,7,1.0,Clear,Urban Road,Damaged,Dawn,Signs,35.0,53,Male,Valid,No,Straight Road,24861.0,23268.0,11932.0,673.0,13358.0,981.0,217.0
Rajasthan,Jodhpur,2018.0,August,Saturday,2:1,Fatal,2,Car,3,2.0,Foggy,State Highway,Under Construction,Dark,Signs,110.0,50,Female,,Yes,Straight Road,24861.0,23268.0,11932.0,673.0,13358.0,981.0,217.0
Himachal Pradesh,Unknown,2020.0,April,Thursday,22:25,Minor,5,Pedestrian,1,3.0,Hazy,National Highway,Dry,Dusk,Signals,35.0,49,Female,,No,Straight Road,2255.0,3301.0,885.0,72.0,516.0,21.0,78.0
Uttar Pradesh,Kanpur,2018.0,August,Tuesday,16:49,Fatal,3,Bus,1,4.0,Clear,National Highway,Wet,Dusk,,46.0,41,Male,Valid,No,Curve,37764.0,23843.0,23947.0,4633.0,10184.0,2560.0,1123.0
Assam,Unknown,2021.0,September,Saturday,23:22,Serious,1,Cycle,2,3.0,Hazy,Village Road,Under Construction,Daylight,Signs,46.0,55,Female,,No,Straight Road,7421.0,5917.0,3296.0,352.0,3520.0,334.0,156.0
Bihar,Unknown,2020.0,June,Wednesday,6:47,Serious,5,Car,0,0.0,Foggy,State Highway,Wet,Dusk,Signals,98.0,44,Female,Valid,No,Bridge,11014.0,6539.0,8873.0,593.0,2323.0,458.0,156.0
